title,info,author,narrator,release_date,publisher,listening_length,language,version,program_type,copyright,ratings,number_of_reviews
"Let's Talk Money: You've Worked Hard for It, Now Make It Work for You"," We work hard to earn our money. But regardless of how much we earn, the money worry never goes away. Bills, rent, EMIs, medical costs, vacations, kids' education and, somewhere at the back of the head, the niggling thought about being under-prepared for our own retirement. Wouldn't it be wonderful if our money worked for us just as we work hard for it? What if we had a proven system to identify dud investment schemes? What if could just plug seamlessly into a simple, jargon-free plan to get more value out of our money, and have a super good life today? India's favourite financial planner, Monika Halan, offers you a feet-on-the-ground system to build financial security. Not a get-rich-quick guide, this book helps you build a smart system to live your dream life, rather than stay worried about the right investment or perfect insurance. Unlike many personal finance books, Let's Talk Money is written specifically for you, keeping the Indian context in mind. ",Monika Halan,Veena Fansalkar, 5 February 2020 ,Audible Studios, 5 hours and 56 minutes , English , Unabridged , Audiobook ,"©2018 Monika Halan (P)2020 Audible, Inc.",4.5 out of 5 stars,"3,697 ratings"
Start with Why: How Great Leaders Inspire Everyone To Take Action," Brought to you by Penguin. Why are some people and organisations more inventive, pioneering and successful than others? And why are they able to repeat their success again and again? Because in business it doesn't matter what you do, it matters why you do it. Steve Jobs, the Wright brothers and Martin Luther King have one thing in common: they started with why. This book is for anyone who wants to inspire others or to be inspired. Based on the most-watched TED Talk of all time. ",Simon Sinek,Simon Sinek, 21 October 2021 ,Penguin Audio, 7 hours and 18 minutes , English , Unabridged , Audiobook ,©2011 Simon Sinek (P)2021 Penguin Audio,4.5 out of 5 stars,"22,465 ratings"
Hidden Potential: The Science of Achieving Greater Things," Brought to you by Penguin.We live in a world that's obsessed with talent. We celebrate gifted students in school, natural athletes in sports, and child prodigies in music. But admiring people who start out with innate advantages leads us to overlook the distance we ourselves can travel. We underestimate the range of skills that we can learn and how good we can become. We can all improve at improving. And when opportunity doesn't knock, there are ways to build a door.Hidden Potential offers a new framework for raising aspirations and exceeding expectations. Adam Grant weaves together groundbreaking evidence, surprising insights, and vivid storytelling that takes us from the classroom to the boardroom, the playground to the Olympics, and underground to outer space. He shows that progress depends less on how hard you work than how well you learn. Growth is not about the genius you possess-it's about the character you develop. Grant explores how to build the character skills and motivational structures to realize our own potential, and how to design systems that create opportunities for those who have been underrated and overlooked.Many writers have chronicled the habits of superstars who accomplish great things. This book reveals how anyone can rise to achieve greater things. The true measure of your potential is not the height of the peak you've reached, but how far you've climbed to get there.PLEASE NOTE: When you purchase this title, the accompanying PDF will be available in your Audible Library along with the audio. ",Adam Grant,Adam Grant, 26 October 2023 ,Penguin Audio, 7 hours and 21 minutes , English , Unabridged , Audiobook ,©2023 Adam Grant (P)2023 Penguin Audio,4.5 out of 5 stars,"1,049 ratings"
"Dharmayoddha Kalki: Avatar of Vishnu: Kalki Trilogy, Book 1"," Born in the quiet village of Shambala, Kalki Hari, son of Vishnuyath and Sumati, has no idea about his heritage until he is pitted against tragedies and battles.Whisked into the province of Keekatpur, which is under the fist of Lord Kali, Kalki sees the ignominy of death trumping life all around him. He learns that he has been born to cleanse the world he lives in, for which he must journey to the North and learn the ways of Lord Vishnu’s Avatar, from an immortal who wields an axe.But trapped in the midst of betrayals, political intrigue and forces that seek to decimate him, will he be able to follow his destiny before the Kaliyug begins? ",Kevin Missal,Manish Dongardive, 14 October 2021 ,Audible Studios, 12 hours and 34 minutes , English , Unabridged , Audiobook ,"©2017 Kevin Missal (P)2021 Audible, Inc.",4.3 out of 5 stars,"2,278 ratings"
Sherlock Holmes: The Definitive Collection," Now updated to include Chapter Name Information, so you can easily find your favourite story or novelWinner of Audible's 2017 Members' Choice Award ""...it was reading the Sherlock Holmes stories as a boy that first turned me on to the power of writing and storytelling."" (Stephen Fry) Ever since he made his first appearance in A Study In Scarlet, Sherlock Holmes has enthralled and delighted millions of fans throughout the world. Now Audible is proud to present Arthur Conan Doyle's Sherlock Holmes: The Definitive Collection, read by Stephen Fry. A lifelong fan of Doyle's detective fiction, Fry has narrated the complete works of Sherlock Holmes - four novels and five collections of short stories. And, exclusively for Audible, Stephen has written and narrated nine insightful, intimate and deeply personal introductions to each title. Stephen Fry is an English actor, screenwriter, author, playwright, journalist, comedian, television presenter, film director and all round national treasure. He is the acclaimed narrator of J.K. Rowling's Harry Potter audiobooks and most recently recorded The Tales of Max Carrados for Audible Studios. Stephen has contributed columns and articles to newspapers and magazines, appears frequently on radio and has written four novels and three volumes of autobiography. Part 1 Chapter 1: Opening Credits and Introduction to A Study in Scarlet Chapters 2-15: A Study in Scarlet Chapter 16: Introduction to The Sign of Four Chapters 17-21: The Sign of Four, Part 1 Part 2 Chapters 1-7: The Sign of Four, Part 2  Chapter 8: Introduction to The Adventures of Sherlock Holmes Chapters 9-21: The Adventures of Sherlock Holmes, Part 1 Part 3 Chapter 1: The Adventures of Sherlock Holmes, Part 2  Chapter 2: Introduction to The Memoirs of Sherlock Holmes Chapters 3-14: The Memoirs of Sherlock Holmes Chapter 15: Introduction to The Hound of the Baskervilles Chapters 16-21: The Hound of the Baskervilles, Part 1 Part 4 Chapters 1-9: The Hound of the Baskervilles, Part 2 Chapter 10: Introduction to The Return of Sherlock Holmes Chapters 11-21: The Return of Sherlock Holmes, Part 1  Part 5 Chapters 1-2: The Return of Sherlock Holmes, Part 2 Chapter 3: Introduction to The Valley of Fear Chapters 4-18: The Valley of Fear Chapter 19: Introduction to His Last Bow Chapters 20-21: His Last Bow, Part 1  Part 6 Chapters 1-7: His Last Bow, Part 2 Chapter 8: Introduction to The Casebook of Sherlock Holmes Chapters 9-20: The Casebook of Sherlock Holmes and Closing Credits ",Stephen Fry - introductions,Stephen Fry, 27 February 2017 ,Audible Studios, 71 hours and 57 minutes , English , Unabridged , Audiobook ,"©2017 Stephen Fry (introductions); original text public domain (P)2017 Audible, Ltd",4.8 out of 5 stars,9 ratings
The Compound Effect: Multiply Your Success One Simple Step at a Time," The Compound Effect contains the essence of what every super achiever needs to know, practice, and master to obtain extraordinary success. Inside you will hear strategies on:How to win-every timeEradicating the bad habits that are derailing your progressPainlessly installing the few key disciplines required for major breakthroughsThe real, lasting keys to gaining and sustaining motivationCapturing the elusive, awesome force of momentumThe acceleration secrets of superachieversInside you will learn how to get the success you desire and the life you deserve. ",Darren Hardy,Darren Hardy, 22 January 2019 ,Folio Literary Management, 4 hours and 44 minutes , English , Unabridged , Audiobook ,"©2011 Success, Inc. (P)2019 Folio Literary Management",4.6 out of 5 stars,"17,623 ratings"
A Short History of Nearly Everything," Featuring a special introduction written for the audiobook edition and read by the authorA Radio 4 Book Club Selection.A Short History of Nearly Everything is Bill Bryson's fascinating and humorous quest to understand everything that has happened from the Big Bang to the rise of civilization. He takes subjects that normally bore the pants off most of us, like geology, chemistry, and particle physics, and aims to render them comprehensible to people who have never thought they could be interested in science. In the company of some extraordinary scientists, Bill Bryson reveals the world in a way most of us have never seen it before. ",Bill Bryson,William Roberts, 26 December 2004 ,Audible Studios, 18 hours and 59 minutes , English , Unabridged , Audiobook ,"©2003 Bill Bryson (P)2014 Audible, Inc.",4.6 out of 5 stars,"16,096 ratings"
Man's Search for Meaning," Man’s Search for Meaning is the chilling yet inspirational story of Viktor Frankl’s struggle to hold on to hope during the unspeakable horrors of his years as a prisoner in Nazi concentration camps. Between 1942 and 1945 Frankl labored in four different camps, including Auschwitz, while his parents, brother, and pregnant wife perished. Based on his own experience and the experiences of those he treated in his practice, Frankl argues that we cannot avoid suffering, but we can choose how to cope with it, find meaning in it, and move forward with renewed purpose.  Through every waking moment of his ordeal, Frankl’s training as a psychiatrist lent him a remarkable perspective on the psychology of survival. As a result of these experiences, Dr. Frankl developed a revolutionary approach to psychotherapy known as logotherapy. At the core of his theory is the belief that man’s primary motivational force is his search for meaning. Frankl’s assertion that “the will to meaning” is the basic motivation for human life has forever changed the way we understand our humanity in the face of suffering.  Frankl’s riveting memoir was named one of the 10 Most Influential Books in America after a 1991 survey by the Library of Congress and Book of the Month Club. This revised and updated version includes a new postscript: “The Case for a Tragic Optimism”. ",Viktor E. Frankl,Simon Vance, 13 October 2004 ,"Blackstone Audio, Inc.", 4 hours and 44 minutes , English , Unabridged , Audiobook ,"©1959, 1962, 1984 Viktor E. Frankl (P)1995 Blackstone Audiobooks",4.5 out of 5 stars,"83,951 ratings"
Orwell Collection: Animal Farm & 1984," Audible Studios presents two new recordings of George Orwell's most celebrated novels – 1984 and Animal Farm – with exclusive introductions, written and performed by Stephen Fry. 1984The classic dystopian social science fiction novel first published on 8th June 1949 as Orwell's ninth and final book completed in his lifetime. One of the most brilliant satires on totalitarianism and the power-hungry ever written, introducing new language as words of warning for future generations; 1984, Newspeak, Doublethink, Thought Police, Big Brother is watching you.... Animal FarmOne of the most influential works of the 20th century. A socio-political allegory that reflects events leading up to the Russian Revolution of 1917 and then on into the Stalinist era of the Soviet Union. Set in a farmyard, where the animals decide to seize the farmer's land and create a co-operative that reaps the benefits of their combined labours. Four legs good, two legs bad....About the narratorStephen Fry is an English actor, screenwriter, author, playwright, journalist, poet, comedian, television presenter, film director and all-round national treasure. Whilst at university, Fry became involved with the Cambridge Footlights, where he met his long-time collaborator and friend Hugh Laurie. As half of the comic double act Fry and Laurie, he co-wrote and co-starred in A Bit of Fry & Laurie and Jeeves and Wooster. Fry’s acting roles include Blackadder, Kingdom, Bones, V for Vendetta, Sherlock Holmes: A Game of Shadows and The Hobbit trilogy. He has written and presented several documentary series and as a proudly out gay man, the award-winning Out There, documenting the lives of lesbian, bisexual gay and transgender people around the world is part of his 30-year advocacy of the rights of the LGBT community. Fry has written four novels, The Liar, The Hippopotamus (made in to a feature film in 2018), Making History and The Stars’ Tennis Balls. Translated into many languages, they have never been out of print. The most recently published works are Mythos and Heroes, constituting the first two parts of what will be a trilogy retelling the Greeks myths from the Creation to the aftermath of the Trojan War. Troy was published in November 2020.Includes original theme music by renowned composer Carly Paradis, who is known for scoring the BBC’s Line of Duty and Netflix’s production of The Innocents. Featuring strings performed by Robert Ames, co-founder of the world-famous London Contemporary Orchestra.  ",George Orwell,Stephen Fry, 12 January 2021 ,Audible Studios, 16 hours and 18 minutes , English , Unabridged , Audiobook ,"Public Domain (P)2021 Audible, Ltd",4.6 out of 5 stars,8 ratings
The Jane Austen Collection: An Audible Original Drama," Sense and Sensibility - narrated by Gugu Mbatha-Raw.Austen introduces us to the Dashwood sisters who upon the death of their father are left with little money, status or their family home. Marianne wears her heart on her sleeve and when she falls in love with the dashing but unsuitable John Willoughby she ignores her sister Elinor's warning that her impulsive behaviour leaves her open to gossip and innuendo. Meanwhile Elinor, always sensitive to social convention, is struggling to conceal her own romantic disappointment.Directed by Celia de Wolff. Adapted by Anna Lea. With Bessie Carter, Anya Chalotra, Josh Dylan, Robert Glenister, Paterson Joseph, Emma Mackey, Hattie Morahan, Carl Prekopp, Blake Ritson, Lesley Sharp, Fenella Woolgar, Nicolas Armfield, Pippa Bennett-Warner, Lily Cooper and Tom Glenister.Pride and Prejudice - narrated by Claire Foy.Centred around the Bennet family, their five unmarried daughters and their mother’s desperation for at least one of them to make a wealthy match to save the family from destitution. When Charles Bingley moves into nearby Netherfield, it seems that Jane, the eldest, may have found her match, but it also introduces Elizabeth to Bingley’s friend, the aloof Mr Darcy.Directed by Nicolette Chin. Adapted by Sian Owen, script edited by Anna Lea. With Tarrick Benham, Nicole Davis, Barnaby Edwards, Billie Fulford-Brown, Rebecca Front, Emma Gregory, Ferdinand Kingsley, Chris Lew Kum Hoi, Tim McInnerny, Heather Nicol, Sarah Ovens, Janet Prince, Jenny Rainsford, Jennifer Saayeng, Sam Stafford, Katy Sobey, Homer Todiwala, Patience Tomlinson and Simon Yadoo.Mansfield Park - narrated by Billie Piper.Adopted into the household of her uncle, Sir Thomas Bertram, Fanny Price grows up a meek outsider among her cousins in the unaccustomed elegance of Mansfield Park. Soon after Sir Thomas leaves on business, Mary Crawford and her brother, Henry, arrive at Mansfield, bringing with them London glamour and the seductive taste for flirtation and theatre that precipitates a crisis.Directed by Tamsin Collison. Adapted by Catherine Dyson, script edited by Anna Lea. With Matt Addis, Lucy Briers, James Corrigan, Scarlett Courtney, Rosalind Eleazar, Jennifer English, Emma Fielding, Ash Hunter, Joel MacCormack, Harry Myers, Esme Scarborough, Lucy Scott, Bert Seymour and Natalie Simpson.Emma - narrated by Emma Thompson.Emma is perfectly content with her life and sees no need for either love or marriage; nothing delights her more than matchmaking her fellow residents of Highbury. But when she ignores the warnings of her good friend Mr. Knightley and attempts to arrange a suitable match for her protegee Harriet Smith, her carefully laid plans soon unravel and have consequences that she never expected.Directed by Katherine Thompson. Adapted by Anna Lea.Isabella Inchbald played Emma Woodhouse, and Joseph Millson played George Knightley.  With Alexa Davies, Joanne Froggatt, Adam Gillen, Rupert Holliday-Evans, Isabella Inchbald, Aisling Loftus, Anjella Mackintosh, Joseph Millson, Ukweli Roach, Morgana Robinson, Nicholas Rowe, Benjamin Wainwright, Eve Webster and Ria Zmitrowicz.Northanger Abbey - narrated by Emma Thompson.A coming-of-age tale for naïve 17-year-old Catherine Morland, Northanger Abbey takes a comical look at themes of class, family, love and literature. Revelling in the sensationalist - and extremely popular - Gothic fiction of the day, the story follows Catherine out of Bath to the lofty manor of the Tilneys, where her overactive imagination gets to work constructing an absurd and melodramatic explanation for the death of Mrs Tilney, which threatens to jeopardise her newly forged friendships. Directed by Katherine Thompson. Adapted by Anna Lea.With Douglas Booth, Robin Brown, Gunnar Cauthery, Anna Chancellor, Lily Cole, Beth Goddard, Nickolas Grace, Jeremy Irvine, Carla Mendonca, Ella Purnell, George Rainsford, Simon Shepherd, Emma Thompson, Eleanor Tomlinson, Lorraine Ansell, Naomi Felton, Bethan Rose Young as Anne Thorpe and Joanna Ruiz.Persuasion - narrated by Florence Pugh.Anne Elliot, daughter of the snobbish Sir Walter, is woman of quiet charm and deep feelings. Eight years before our story begins, she is happily betrothed to naval officer Frederick Wentworth, but she breaks off the engagement when persuaded by her friend Lady Russell that such a match is unworthy. The breakup produces in Anne a deep and long-lasting regret.Directed by Emma Hearn. Adapted by Anna Lea. With Annabel Baldwin, Michael Fox, Julian Wadham, Laure Stockley, Lizzie Stables, Oscar Batterham, Ewan Bailey, Samantha Béart, Andrew Wheildon-Dennis, Al Weaver, Tom Andrew, Molly Harris, Martha Mackintosh, Vineeta Rishi, Isabel Adomakoh Young and Sophie Aldred. ",Jane Austen,Claire Foy, 5 November 2020 ,Audible Originals, 45 hours , English , Unabridged , Audiobook ,"Public Domain (P)2020 Audible, Ltd",Previous page,
"The Essential Rumi, New Expanded Edition"," This revised and expanded edition of The Essential Rumi includes a new introduction by Coleman Barks and more than 80 never-before-published poems.Through his lyrical translations, Coleman Barks has been instrumental in bringing this exquisite literature to a remarkably wide range of listeners, making the ecstatic, spiritual poetry of 13th-century Sufi mystic Rumi more popular than ever.The Essential Rumi continues to be the best-selling of all Rumi books and the definitive selection of his beautiful, mystical poetry. ",Jalal ad-Din Muhammad Rumi,Robertson Dean, 3 July 2018 ,"Blackstone Audio, Inc.", 9 hours and 24 minutes , English , Unabridged , Audiobook ,"©2018 Coleman Barks, John Moyne, A.J. Arberry, Reynold Nicholson (P)2018 Blackstone Audio, Inc.",4.6 out of 5 stars,"3,398 ratings"
Brave New World," Originally published in 1932, this outstanding work of literature is more crucial and relevant today than ever before.“One of the most prophetic dystopian works of the 20th century”—Wall Street JournalCloning, feel-good drugs, antiaging programs, and total social control through politics, programming, and media—has Aldous Huxley accurately predicted our future? With a storyteller’s genius, he weaves these ethical controversies in a compelling narrative that dawns in the year 632 AF (After Ford, the deity). When Lenina and Bernard visit a savage reservation, we experience how Utopia can destroy humanity.A powerful work of speculative fiction that has enthralled and terrified readers for generations, Brave New World is both a warning to be heeded and thought-provoking yet satisfying entertainment. ",Aldous Huxley,Michael York, 16 January 2008 ,"Blackstone Audio, Inc.", 8 hours , English , Unabridged , Audiobook ,©1932 Aldous Huxley; 1998 BBC Audiobooks America (P)2003 BBC Audiobooks America,4.4 out of 5 stars,"42,821 ratings"
The Queen's Gambit," Engaging and fast-paced, this gripping coming-of-age novel of chess, feminism, and addiction speeds to a conclusion as elegant and satisfying as a mate in four.Eight-year-old orphan Beth Harmon is quiet, sullen, and by all appearances unremarkable. That is, until she plays her first game of chess. Her senses grow sharper, her thinking clearer, and for the first time in her life she feels herself fully in control. By the age of 16, she's competing for the US Open championship. But as Beth hones her skills on the professional circuit, the stakes get higher, her isolation grows more frightening, and the thought of escape becomes all the more tempting. ",Walter Tevis,Amy Landon, 11 December 2018 ,"Blackstone Audio, Inc.", 11 hours and 50 minutes , English , Unabridged , Audiobook ,"©2018 Walter Tevis (P)2018 Blackstone Audio, Inc.",4.6 out of 5 stars,"22,122 ratings"
The Coldest Case: A Black Book Audio Drama," Please note: This audio drama is for mature audiences only. It contains strong language, violence, and sexual content. Discretion is advised.  James Patterson's Detective Billy Harney is back, this time investigating murders in a notorious Chicago drug ring, which will lead him, his sister, and his new partner through a dangerous web of corrupt politicians, vengeful billionaires, and violent dark web conspiracies. In The Coldest Case: A Black Book Audio Drama, homicide detective Billy Harney sends his new partner, Kate, deep undercover in a notorious Chicago drug ring. When several members of the ring soon turn up dead, Billy abruptly pulls Kate out, blowing her cover. Kate’s informant inside the gang quickly disappears. As does the ring’s black book.... When Billy can’t find the informant, he wonders if Kate is secretly harboring her, since the two grew close during Kate's weeks undercover. As Billy and Kate investigate the ring’s murders, they’ll be pulled into a dangerous web of corrupt politicians, vengeful billionaires, drugged pro-athletes, and violent, dark web conspiracies, all in search of the missing black book.  ",James Patterson,Aaron Paul, 11 March 2021 ,Audible Originals, 3 hours and 52 minutes , English , Original recording , Audiobook ,"©2020 James Patterson, Friendly Heights, Inc., and Origin Story Entertainment, LLC (P)2020 Audible Originals, LLC.",3.6 out of 5 stars,10 ratings
Mindfulness in Plain English," With over a quarter of a million copies sold, Mindfulness in Plain English is one of the most influential books in the burgeoning field of mindfulness and a timeless classic introduction to meditation. This is a book that people listen to, love, and share - a book that people talk about, write about, reflect on, and return to over and over again. Bhante Gunaratana is also the author of Eight Mindful Steps to Happiness, Beyond Mindfulness in Plain English, The Four Foundations of Mindfulness in Plain English, and his memoir, Journey to Mindfulness.  ",Bhante Henepola Gunaratana,Edoardo Ballerini, 24 May 2016 ,Audible Studios, 6 hours and 12 minutes , English , Unabridged , Audiobook ,"©2011 Bhante Henepola Gunaratana (P)2016 Audible, Inc.",4.3 out of 5 stars,26 ratings
A Way in the World: A Novel," In a vastly innovative novel, Nobel Prize-winner V. S. Naipaul intertwines memory and history to create what is at once an autobiography and an ambitious fictional archaeology of colonialism.Spanning continents and centuries and defying literary categories, A Way in the World tells intersecting stories whose protagonists include the disgraced and half-demented Sir Walter Raleigh, who seeks El Dorado in the New World; the 19th-century insurgent Francisco Miranda, who becomes entangled in his own fantasies and borrowed ideas; and the doomed Blair, a present-day Caribbean revolutionary stranded in East Africa. Among these presences is a narrator who bears a telling resemblance to Naipaul himself: a Trinidadian writer of Indian ancestry and English residence boldly trying to come to terms with the mystery and transience that is his inheritance. ",V. S. Naipaul,Simon Vance, 4 September 2018 ,"Blackstone Audio, Inc.", 11 hours and 41 minutes , English , Unabridged , Audiobook ,"©1994 V. S. Naipaul (P)2018 Blackstone Audio, Inc.",3.5 out of 5 stars,19 ratings
The Art of War," The 13 chapters of The Art of War, each devoted to one aspect of warfare, were compiled by the high-ranking Chinese military general, strategist, and philosopher Sun-Tzu. In spite of its battlefield specificity, The Art of War has found new life in the modern age, with leaders in fields as wide and far-reaching as world politics, human psychology, and corporate strategy finding valuable insight in its timeworn words. Aidan Gillen - who has learned a thing or two about strategy through his roles as skilled manipulator Petyr ""Littlefinger"" Baelish (Game of Thrones) and ambitious politician Tommy Carcetti (The Wire) - brilliantly performs this ancient classic. His experience in portraying insightful and, at times, cunning characters makes him a natural fit for this ancient collection of battlefield epigrams whose influence has grown tremendously in the modern world. ",Sun Tzu,Aidan Gillen, 31 March 2015 ,Audible Studios, 1 hour and 7 minutes , English , Unabridged , Audiobook ,Public Domain (P)2015 Audible Inc.,4.3 out of 5 stars,"13,490 ratings"
"Permanent Roommates: He Said, She Said, Season 2"," Audible presents Permanent Roommates: He Said, She Said, Season 2 an Audible Original starring Sumeet Vyas and Nidhi Singh. Season two reveals the origin of Tanya and Mikesh’s love story. For the first time, hear how they first met, kissed, and fell in love. While living away from each other, Tanya and Mikesh reminisce about the beautiful day when two misfits bumped into each other four years back in Mumbai. What started as only a chance encounter and a few weeks of casually dating paved the way for a journey that’s made them the beloved couple they are today. Disclaimer: This show contains expletives, strong language, and mature content for adult listeners, including intimate scenes that support the storyline. This is a work of fiction and any resemblance to real persons, businesses, places, or events is coincidental. This show is not intended to offend or defame any individual, entity, caste, community, race, religion or to denigrate any institution or person, living or dead. Listener’s discretion is strongly advised. ",The Viral Fever,Sumeet Vyas,,,,,,,,Previous page,
Deepak Chopra's Mind Body Zone: Living Outside the Box," ""When you want to change your life in any way, one truth always comes first: You can only change what you are aware of. The choice is simple: expand your awareness or live without real change."" (Deepak Chopra)The surest path to self-development is through our vital connection to the world around us. That’s the lesson in Deepak Chopra’s essential new podcast, Mind Body Zone. Over 12 episodes, Chopra, the preeminent thought leader in this space, holds intimate conversations with a range of extraordinary guests to explore the challenges we each face, and reveal how they've worked to transcend the ordinary and redefine their lives through harnessing a mind-body connection.Among Deepak’s dynamic guests: activist and advocate X González, yoga teacher and body positivity advocate Jessamyn Stanley, anti-racism educator Layla Saad, multidisciplinary artist Jon Batiste, U.S. poet laureate Joy Harjo; media pioneer Oprah Winfrey, and many more. Each conversation concludes with a bespoke meditation, led by Chopra, designed to help listeners further absorb and put into practice newly explored ideas and themes.Join Deepak Chopra and discover how together we can each become whole. ",Deepak Chopra,Deepak Chopra,,, 7 hours and 7 minutes ,,,,,Previous page,
In the Habit: Introduction to Changing our Behaviour," How can we change our behaviours? The first step is understanding our habits. For better or worse, habits are the invisible building blocks of daily life. Research suggests that about 40% of what we do is repeated almost daily and yet most of the time we aren't really aware of what's happening.In this series, neuroscientist Ash Ranpura and comedian Alice Fraser deep dive into the science of behaviour change. They want to find out how we can make good habits and how we can break bad ones. Along the way they meet the man who invented the science of habits, talk to a woman trying to change the world through figuring out how to make behaviour change stick and try out some of the latest tricks and techniques designed to help you change your own behaviours.This is the one series you should have in your headphones if you want to understand how to make positive changes in your life.This is an Audible Original Podcast. Free for members. You can download all 6 episodes to your Library now.ut 20 minutes. ",Ash Ranpura,,,,,,,,,Previous page,
Heist with Michael Caine," Sir Michael Caine - perhaps best known as gang leader Charlie Croker in 60s crime caper The Italian Job - tells the stories of remarkable heists and extraordinary robberies from around the world, as remembered by the masterminds, detectives, victims, journalists and witnesses that lived through them.For more than 60 years, Caine has played thieves, criminals, gangsters and the detectives trying to catch them. But there’s Hollywood and then there’s real life... and that’s when things get really interesting.From the largest bank burglary in American history, to the world’s most audacious book heist, Heist with Michael Caine travels to America, Australia, Stockholm, Antwerp and everywhere in-between to tell true stories behind the world’s most daring heists.A Somethin’ Else production for Audible Originals.This is an Audible Original Podcast. Free for members. You can download all 6 episodes to your Library now. ",Michael Caine,,,,,,,,,Previous page,
The Dark Web," An exposé on the depths of the internet. From sex trafficking and fraud to government secrets and anonymous hacking groups. When you add The Dark Web to your library you will receive all 10 episodes, each with a runtime of approximately 25 minutes. ",Geoff White,Geoff White,,,,,,,,Previous page,
The 3-Day Effect," The 3-Day Effect is a look at the science behind why being in the wild for a minimum of three days can make us happier, healthier and more creative. Whether it's rafting down Utah's Green River, backpacking in Colorado wilderness or strolling through Rock Creek Park in Washington, D.C., scientists are finding that immersions in nature can reduce anxiety, enhance creativity and boost overall well-being.Join science journalist Florence Williams in an immersive audio exploration of the mind and outdoors in six chapters following former Iraqi war veterans, sex trafficking survivors, and even a bookish nature hater journeying to the wild. Meet the innovative field researchers working to strengthen the science for a nature cure through real-time physiological, psychological and cognitive measures over three days outside.When you add The 3-Day Effect to your library you will receive all 6 episodes, each with a runtime of approximately 25 minutes. To hear more great podcasts and short listens, visit Audible.com/AudioShows. ",Florence Williams,,,,,,,,,Previous page,
What Do I Do?: Mental Health and Me," This deeply personal and supportive series offers listeners an honest and relatable insight into how some the UK's best-known celebrities have coped with mental health difficulties, ranging from OCD to insomnia, addiction to grief, and depression to anxiety.Having experienced her own mental health difficulties, with depression and self-harm, Dame Kelly Holmes sets out to discover how other people cope. She joins each guest in a place that makes them feel good: taking a spin class with presenter Davina McCall, baking with comedian Catherine Bohart, and playing the bagpipes with journalist Alastair Campbell in his bathroom.Each episode concludes with an expert insight from mental health professionals, Dr David Crepaz-Keay from the Mental Health Foundation and psychotherapist Owen O'Kane, including information about seeking professional help.Dame Kelly's other guests include journalist Jon Ronson, author Philip Pullman, comedians Eddie Izzard, Felicity Ward and Rory Bremner, transgender rights activist Munroe Bergdorf and musician Amanda Palmer.If you or someone you know is affected by any of the issues mentioned in this podcast, please contact the charities below:Samaritans - 116 123Mind Infoline - 0300 123 3393Heads Together- headstogether.org.ukMental Health Foundation - mentalhealth.org.ukYoung Minds - Text 'YM' to 85258 for urgent supportThis is an Audible Original Podcast. Free for members. You can download all 10 episodes to your Library now. ",Kelly Holmes,,,,,,,,,Previous page,
Exoplanets: The Search for Another Earth, Technologically there's never been a better time to search for a new earth beyond our solar system.Professor Danielle George examines exoplanets in the so-called habitable zone. Those that have liquid water. And maybe even life.She wonders how we might be able to take the our first ever high resolution picture of an exoplanet using the microchips found in mobile phones. And she meets world-leading astrophysicists to ask if within our lifetimes humans might step foot on an earth-like planet.An ITN production for Audible Originals.This is an Audible Original Podcast. Free for members. You can download all 6 episodes to your Library now. ,Danielle George,,,,,,,,,Previous page,
Artificial Intelligence: Friend or Foe?," Will AI lead to the transformation of society as we know it, or bring about its destruction?Join technology journalist, Geoff White (The Dark Web), on a journey to discover how AI is already disrupting our lives. From warfare to the world of work, and finance to fine art, we experience AI every day - often without realising. Its effects will only increase in the coming years.This is an Audible Original Podcast. Free for members. You can download all 6 episodes to your Library now. ",Geoff White,,,,,,,,,Previous page,
A Grown-Up Guide to Dinosaurs," We're living through a golden age of paleontological research that, in the last couple of decades, has radically changed our understanding of dinosaurs. Through candid interviews with the world's top paleontologists, Professor Ben Garrod reveals new dinosaur facts from cutting edge research into the greatest animals ever to walk the planet.When we're young, we all have a favourite dinosaur but, as time passes, other aspects of life get in the way. This is ultimate guide for grown-ups who have lost touch with their favourite childhood dinosaurs.From the earliest cat-sized dinosaurs to enormous, feathered dinosaurs, there have been many significant discoveries in only the last 30 years. Every day we are learning more about the way the dinosaurs behaved and ultimately what happened to them at the very end.Produced by Wisebuddah for Audible Originals.This is an Audible Original Podcast. Free for members. You can download all 6 episodes to your Library now. ",Ellie Sans,Professor Ben Garrod,,,,,,,,Previous page,
Stephen Fry's Victorian Secrets," On the surface, the Victorian age is one of propriety, industry, prudishness and piety. But scratch the surface and you'll find scandal, sadism, sex, madness, malice and murder.Presented by Stephen Fry, this series delves deep into a period of time we think we know, to discover an altogether darker reality. The stories we're told offer a different perspective on an era which underwent massive social change. As education, trade, technology and culture blossomed, why was there an undercurrent of the ""˜forbidden' festering beneath Victorian society?Across 12 episodes, Stephen presents a series of true accounts of the dangerous low life and debauched high life of Victorian Britain.This is an Audible Original Podcast. Free for members. You can download all 12 episodes to your Library now. ",Stephen Fry,,,,,,,,,Previous page,
